brand,model,engine_size_l,cylinders,fuel_type,transmission,name,first_name,start_city,start_country,target_city,target_country,distance_km,date
FORD,F-150 (Payload Pkg),3.5,6,X,AS6,Schlagman,Blake,Kihniö,Finland,Haukivuori,Finland,232.235123201388,2014-05-16
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,Z,M6,Chitham,Ruthie,Liminka,Finland,Karkkila,Finland,675.654590729302,2014-07-14
TOYOTA,TACOMA,2.7,4,X,AS6,Spyvye,Silas,Luvia,Finland,Mellilä,Finland,319.300665052754,2014-08-14
PORSCHE,CAYENNE,3.6,6,Z,A8,Maddy,Verine,Kinnula,Finland,Pöytyä,Finland,939.400418487267,2014-03-07
TOYOTA,TACOMA 4WD,3.5,6,,AS6,Wellstood,Shawnee,Valkeakoski,Finland,Särkisalo,Finland,746.029780306909,2014-08-28
PORSCHE,911 CARRERA 4,3.4,6,Z,AM7,Boffey,Reinald,Pernå,Finland,Kuopio,Finland,659.327149209041,2014-09-02
MINI,COOPER S PACEMAN ALL4,1.6,4,Z,M6,Melsom,Veronika,Veteli,Finland,Hauho,Finland,175.488764289131,2014-12-08
LINCOLN,MKX AWD,3.7,6,X,AS6,Lehrer,Sharlene,Tammela,Finland,Kalvola,Finland,63.5035804440633,2014-02-23
FORD,EDGE,2,4,X,AS6,Akker,Teresa,Saukkola,Finland,Lieto,Finland,282.537451532857,2014-03-07
ROLLS-ROYCE,WRAITH,6.6,12,Z,AS8,Fontaine,Obadias,Pukkila,Finland,Siikajoki,Finland,355.031613030071,2014-10-19
BMW,M235i CABRIOLET,3,6,Z,M6,Kerne,Jenifer,Pieksämäki,Finland,Broby,Finland,50.7773220697523,2014-06-11
JEEP,PATRIOT 4X4 TRAIL RATED,2.4,4,X,AV,Meachan,Genni,Artjärvi,Finland,Piikkiö,Finland,151.367139143233,2014-02-08
GMC,CANYON 4WD,3.6,6,,A6,Dowglass,Ford,Ristijärvi,Finland,Oulainen,Finland,687.777713695848,2014-11-29
VOLKSWAGEN,PASSAT,1.8,4,X,M6,Earley,Eldon,Kuusamo,Finland,Jaala,Finland,94.7381607473048,2014-04-18
DODGE,DART GT,2.4,4,X,M6,Witherington,Oralie,Gumböle,Finland,Halikko,Finland,516.59117918766,2014-09-10
GMC,SIERRA,5.3,8,X,A6,Durbann,Berni,Pudasjärvi,Finland,Kannonkoski,Finland,586.584265200997,2014-11-16
PORSCHE,911 CARRERA 4 GTS,3.8,6,Z,M7,Camosso,Bartel,Rautavaara,Finland,Muonio,Finland,267.195603985083,2014-04-13
CHEVROLET,CRUZE LIMITED,1.8,4,X,M6,Alldridge,Trish,Liminka,Finland,Lappi,Finland,528.659021215539,2014-06-17
KIA,SORENTO AWD,3.3,6,X,AS6,McNamara,Kassia,Kuopio,Finland,Nurmes,Finland,805.077186564564,2014-01-30
DODGE,CHARGER FFV,3.6,6,X,A8,Croizier,Hartley,Vesilahti,Finland,Korsholm,Finland,994.154951868907,2014-04-16
MAZDA,MAZDA3 4-DOOR (SIL),2,4,X,M6,Culbard,Agnola,Kristinestad,Finland,Muhos,Finland,984.255457171397,2014-03-06
CHEVROLET,COLORADO,2.5,4,,M6,Harlock,Lesya,Ristijärvi,Finland,Kerimäki,Finland,359.679957372286,2014-04-02
NISSAN,GT-R,3.8,6,Z,AM6,Camplin,Catha,Lempäälä,Finland,Leivonmäki,Finland,12.8522423581252,2014-04-04
VOLVO,XC60 T6,2,4,Z,AS8,Hackin,Tracey,Luhanka,Finland,Larsmo,Finland,178.124671270069,2014-08-17
PORSCHE,PANAMERA,3.6,6,Z,AM7,Longlands,Stormy,Lauttasaari,Finland,Salla,Finland,322.006671532005,2014-07-25
TOYOTA,AVALON,3.5,6,X,AS6,Harlock,Lesya,Broby,Finland,Yläne,Finland,312.48851079426,2014-01-12
FORD,EDGE,3.5,6,X,AS6,Gylle,Sasha,Kärkölä,Finland,Riihimäki,Finland,843.691356425399,2014-03-10
JAGUAR,XJR,5,8,Z,AS8,Aldren,Selene,Järvelä,Finland,Väståboland,Finland,869.840492435955,2014-03-19
AUDI,A6 QUATTRO,2,4,Z,AS8,Scoyne,Madison,Hirvensalmi,Finland,Ylikiiminki,Finland,888.572378909057,2014-10-08
DODGE,CHALLENGER SRT HELLCAT,6.2,8,Z,A8,Mangion,Cheryl,Leppävirta,Finland,Tuusniemi,Finland,491.987944786921,2014-04-06
FORD,F-150 FFV (Payload Pkg),5,8,X,AS6,Korbmaker,Scottie,Anjala,Finland,Hauho,Finland,124.505231354451,2014-01-24
ROLLS-ROYCE,WRAITH,6.6,12,Z,AS8,Fontaine,Obadias,Pukkila,Finland,Keuruu,Finland,766.343789943221,2014-03-12
LAMBORGHINI,HURACAN,5.2,10,Z,AM7,Davidovitch,Kelly,Haukipudas,Finland,Ruovesi,Finland,807.949768978272,2014-07-11
MERCEDES-BENZ,E 400 CABRIOLET,3,6,Z,AS7,Cusworth,Zane,Tervo,Finland,Lovisa,Finland,549.475136510615,2014-03-08
KIA,FORTE,2,4,X,M6,Bretelle,Katrinka,Suolahti,Finland,Rymättylä,Finland,895.626313387527,2014-08-27
LEXUS,GS F,5,8,Z,AS8,Leuren,Norah,Naantali,Finland,Lumijoki,Finland,603.437135084747,2014-06-29
FORD,EDGE AWD,2.7,6,X,AS6,Perrigo,Winnie,Hartola,Finland,Kaskinen,Finland,111.632674493418,2014-07-28
GMC,SIERRA FFV,5.3,8,E,A6,Troutbeck,Donella,Köyliö,Finland,Nickby,Finland,349.264922797254,2014-12-28
JAGUAR,F-TYPE COUPE,3,6,Z,AS8,Shout,Allsun,Savukoski,Finland,Kauhava,Finland,911.170343951714,2014-05-02
BUICK,ENVISION AWD,2,4,Z,A6,Senyard,Vanya,Oripää,Finland,Kangasala,Finland,762.300272300109,2014-01-30
MERCEDES-BENZ,CLA 250,2,4,Z,AS7,Prestage,Briggs,Vammala,Finland,Raahe,Finland,950.193275493074,2014-11-04
GMC,YUKON XL FFV,5.3,8,X,A6,Baldung,Evin,Taivassalo,Finland,Tervo,Finland,137.376662368077,2014-01-17
TOYOTA,4RUNNER 4WD,4,6,X,AS5,Braden,Isidoro,Pertunmaa,Finland,Juva,Finland,49.1999456868548,2014-01-27
KIA,FORTE,2,4,X,AS6,Griss,Tarah,Posio,Finland,Hämeenlinna,Finland,215.662804537985,2014-03-05
HONDA,HR-V,1.8,4,X,AV7,Paraman,Lacie,Jakobstad,Finland,Artjärvi,Finland,896.03573870809,2014-10-07
VOLVO,XC60 T6,2,4,Z,AS8,Linner,Stacee,Kiihtelysvaara,Finland,Valtimo,Finland,722.600101625993,2014-03-22
JEEP,CHEROKEE FFV,2.4,4,X,A9,Trytsman,Geralda,Kållby,Finland,Toholampi,Finland,913.845518315586,2014-05-02
FORD,MUSTANG,2.3,4,,M6,Tween,Zacharias,Enontekiö,Finland,Savonranta,Finland,308.570904826468,2014-03-20
MASERATI,QUATTROPORTE GTS,3.8,8,Z,AS8,Brettel,Aggi,Paltamo,Finland,Virtasalmi,Finland,781.130586191335,2014-01-27
ROLLS-ROYCE,GHOST,6.6,12,Z,AS8,Fickling,Kaia,Kerava,Finland,Askola,Finland,444.391084565076,2014-01-19
