brand,model,engine_size_l,cylinders,fuel_type,transmission,name,first_name,start_city,start_country,target_city,target_country,distance_km,date
FORD,F-150 (Payload Pkg),3.5,6,X,AS6,Schlagman,Blake,Kihniö,Finland,Haukivuori,Finland,232.2351232,16-05-2014
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,Z,M6,Chitham,Ruthie,Liminka,Finland,Karkkila,Finland,675.6545907,14-07-2014
TOYOTA,TACOMA,2.7,4,X,AS6,Spyvye,Silas,Luvia,Finland,Mellilä,Finland,319.3006651,14-08-2014
PORSCHE,CAYENNE,3.6,6,Z,A8,Maddy,Verine,Kinnula,Finland,Pöytyä,Finland,939.4004185,07-03-2014
TOYOTA,TACOMA 4WD,3.5,6,,AS6,Wellstood,Shawnee,Valkeakoski,Finland,Särkisalo,Finland,746.0297803,28-08-2014
PORSCHE,911 CARRERA 4,3.4,6,Z,AM7,Boffey,Reinald,Pernå,Finland,Kuopio,Finland,659.3271492,02-09-2014
MINI,COOPER S PACEMAN ALL4,1.6,4,Z,M6,Melsom,Veronika,Veteli,Finland,Hauho,Finland,175.4887643,08-12-2014
LINCOLN,MKX AWD,3.7,6,X,AS6,Lehrer,Sharlene,Tammela,Finland,Kalvola,Finland,63.50358044,23-02-2014
FORD,EDGE,2,4,X,AS6,Akker,Teresa,Saukkola,Finland,Lieto,Finland,282.5374515,07-03-2014
ROLLS-ROYCE,WRAITH,6.6,12,Z,AS8,Fontaine,Obadias,Pukkila,Finland,Siikajoki,Finland,355.031613,19-10-2014
BMW,M235i CABRIOLET,3,6,Z,M6,Kerne,Jenifer,Pieksämäki,Finland,Broby,Finland,50.77732207,11-06-2014
JEEP,PATRIOT 4X4 TRAIL RATED,2.4,4,X,AV,Meachan,Genni,Artjärvi,Finland,Piikkiö,Finland,151.3671391,08-02-2014
GMC,CANYON 4WD,3.6,6,,A6,Dowglass,Ford,Ristijärvi,Finland,Oulainen,Finland,687.7777137,29-11-2014
VOLKSWAGEN,PASSAT,1.8,4,X,M6,Earley,Eldon,Kuusamo,Finland,Jaala,Finland,94.73816075,18-04-2014
DODGE,DART GT,2.4,4,X,M6,Witherington,Oralie,Gumböle,Finland,Halikko,Finland,516.5911792,10-09-2014
GMC,SIERRA,5.3,8,X,A6,Durbann,Berni,Pudasjärvi,Finland,Kannonkoski,Finland,586.5842652,16-11-2014
PORSCHE,911 CARRERA 4 GTS,3.8,6,Z,M7,Camosso,Bartel,Rautavaara,Finland,Muonio,Finland,267.195604,13-04-2014
CHEVROLET,CRUZE LIMITED,1.8,4,X,M6,Alldridge,Trish,Liminka,Finland,Lappi,Finland,528.6590212,17-06-2014
KIA,SORENTO AWD,3.3,6,X,AS6,McNamara,Kassia,Kuopio,Finland,Nurmes,Finland,805.0771866,30-01-2014
DODGE,CHARGER FFV,3.6,6,X,A8,Croizier,Hartley,Vesilahti,Finland,Korsholm,Finland,994.1549519,16-04-2014
MAZDA,MAZDA3 4-DOOR (SIL),2,4,X,M6,Culbard,Agnola,Kristinestad,Finland,Muhos,Finland,984.2554572,06-03-2014
CHEVROLET,COLORADO,2.5,4,,M6,Harlock,Lesya,Ristijärvi,Finland,Kerimäki,Finland,359.6799574,02-04-2014
NISSAN,GT-R,3.8,6,Z,AM6,Camplin,Catha,Lempäälä,Finland,Leivonmäki,Finland,12.85224236,04-04-2014
VOLVO,XC60 T6,2,4,Z,AS8,Hackin,Tracey,Luhanka,Finland,Larsmo,Finland,178.1246713,17-08-2014
PORSCHE,PANAMERA,3.6,6,Z,AM7,Longlands,Stormy,Lauttasaari,Finland,Salla,Finland,322.0066715,25-07-2014
TOYOTA,AVALON,3.5,6,X,AS6,Harlock,Lesya,Broby,Finland,Yläne,Finland,312.4885108,12-01-2014
FORD,EDGE,3.5,6,X,AS6,Gylle,Sasha,Kärkölä,Finland,Riihimäki,Finland,843.6913564,10-03-2014
JAGUAR,XJR,5,8,Z,AS8,Aldren,Selene,Järvelä,Finland,Väståboland,Finland,869.8404924,19-03-2014
AUDI,A6 QUATTRO,2,4,Z,AS8,Scoyne,Madison,Hirvensalmi,Finland,Ylikiiminki,Finland,888.5723789,08-10-2014
DODGE,CHALLENGER SRT HELLCAT,6.2,8,Z,A8,Mangion,Cheryl,Leppävirta,Finland,Tuusniemi,Finland,491.9879448,06-04-2014
FORD,F-150 FFV (Payload Pkg),5,8,X,AS6,Korbmaker,Scottie,Anjala,Finland,Hauho,Finland,124.5052314,24-01-2014
ROLLS-ROYCE,WRAITH,6.6,12,Z,AS8,Fontaine,Obadias,Pukkila,Finland,Keuruu,Finland,766.3437899,12-03-2014
LAMBORGHINI,HURACAN,5.2,10,Z,AM7,Davidovitch,Kelly,Haukipudas,Finland,Ruovesi,Finland,807.949769,11-07-2014
MERCEDES-BENZ,E 400 CABRIOLET,3,6,Z,AS7,Cusworth,Zane,Tervo,Finland,Lovisa,Finland,549.4751365,08-03-2014
KIA,FORTE,2,4,X,M6,Bretelle,Katrinka,Suolahti,Finland,Rymättylä,Finland,895.6263134,27-08-2014
LEXUS,GS F,5,8,Z,AS8,Leuren,Norah,Naantali,Finland,Lumijoki,Finland,603.4371351,29-06-2014
FORD,EDGE AWD,2.7,6,X,AS6,Perrigo,Winnie,Hartola,Finland,Kaskinen,Finland,111.6326745,28-07-2014
GMC,SIERRA FFV,5.3,8,E,A6,Troutbeck,Donella,Köyliö,Finland,Nickby,Finland,349.2649228,28-12-2014
JAGUAR,F-TYPE COUPE,3,6,Z,AS8,Shout,Allsun,Savukoski,Finland,Kauhava,Finland,911.170344,02-05-2014
BUICK,ENVISION AWD,2,4,Z,A6,Senyard,Vanya,Oripää,Finland,Kangasala,Finland,762.3002723,30-01-2014
MERCEDES-BENZ,CLA 250,2,4,Z,AS7,Prestage,Briggs,Vammala,Finland,Raahe,Finland,950.1932755,04-11-2014
GMC,YUKON XL FFV,5.3,8,X,A6,Baldung,Evin,Taivassalo,Finland,Tervo,Finland,137.3766624,17-01-2014
TOYOTA,4RUNNER 4WD,4,6,X,AS5,Braden,Isidoro,Pertunmaa,Finland,Juva,Finland,49.19994569,27-01-2014
KIA,FORTE,2,4,X,AS6,Griss,Tarah,Posio,Finland,Hämeenlinna,Finland,215.6628045,05-03-2014
HONDA,HR-V,1.8,4,X,AV7,Paraman,Lacie,Jakobstad,Finland,Artjärvi,Finland,896.0357387,07-10-2014
VOLVO,XC60 T6,2,4,Z,AS8,Linner,Stacee,Kiihtelysvaara,Finland,Valtimo,Finland,722.6001016,22-03-2014
JEEP,CHEROKEE FFV,2.4,4,X,A9,Trytsman,Geralda,Kållby,Finland,Toholampi,Finland,913.8455183,02-05-2014
FORD,MUSTANG,2.3,4,,M6,Tween,Zacharias,Enontekiö,Finland,Savonranta,Finland,308.5709048,20-03-2014
MASERATI,QUATTROPORTE GTS,3.8,8,Z,AS8,Brettel,Aggi,Paltamo,Finland,Virtasalmi,Finland,781.1305862,27-01-2014
